Number,Time,Acc,Matrix
4,18.125834226608276,0.4135308246597278,random
20,18.170241117477417,0.405421686746988,random
40,18.084046125411987,0.5179435483870968,random
100,18.160858631134033,0.4828571428571429,random
200,18.107223749160767,0.5285416666666667,random
300,18.175315141677856,0.5440425531914893,random
400,18.115718841552734,0.5669565217391305,random
500,18.16343903541565,0.5846666666666667,random
4,18.633666276931763,0.627902321857486,norm
20,18.710607290267944,0.626706827309237,norm
40,18.652762413024902,0.6252016129032258,norm
100,18.717742681503296,0.6206122448979592,norm
200,18.64578676223755,0.6127083333333333,norm
300,18.70325016975403,0.604468085106383,norm
400,18.639137268066406,0.5958695652173913,norm
500,18.7157199382782,0.5868888888888889,norm
