Iter,Matrix,Time,Acc
1,norm,10.286354064941406,0.5873333333333334
1,random,9.374475240707397,0.5682222222222222
2,norm,10.954903364181519,0.5875555555555556
2,random,9.211027383804321,0.574
3,norm,11.243300199508667,0.5848888888888889
3,random,8.763895750045776,0.574
4,norm,10.796977996826172,0.5846666666666667
4,random,9.70240044593811,0.5742222222222222
5,norm,10.180279016494751,0.5848888888888889
5,random,8.876450538635254,0.5744444444444444
10,norm,11.900232791900635,0.5848888888888889
10,random,9.512420654296875,0.5744444444444444
20,norm,11.258583784103394,0.5848888888888889
20,random,9.469125032424927,0.5744444444444444
